video_id,comments
iMqcHwangKQ,"['Yo igual lo compre en Amazon cuando estuve en Estados Unidos pero rápido se arruino. Perdió fuerza de vuelo con unas pocas veces que se me golpeo', '😮', 'Ya paso la semana del tatuaje que te hiciste? Nos muestra si ya se desvaneció? Para tu próximo short xd', '👍', 'Que épico ver a Barone con su perro pelear por el juguete 😆', 'Yo los vendo en mi trabajo y créanme no sirven 😂', 'Hola tio 😊', 'Que dron? Yo solo veo a la rubia', 'Muy desaprovechado el video, dron rima con Ramón', 'Miren este mini dron sigan viendo xD']"
Z2nCn1bYqBY,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'Es truco es un asco Ramón ! 😅😂', 'Quizá si no la pegas en el marcó de la ventana funcione', 'Que le hiciste a los vidrios de atrás jaja', 'Chingate el elevador para que te cueste un ojo de la cara esa pieza 😂', 'creo q eso funciona en los carros von ventanas no electricas osea las de perillas', 'Lo puso muy ariba', 'Si sirve pero en coches antiguos', 'Por favor es la última ventana has el vídeo de nuevo. A mi me paso y me funciono', 'El carro: estoy cansado jefe 😢']"
Nny4_6F-uU8,"['👇🏼ENLACE DE LOS PRODUCTOS AQUÍ👇🏼\r\nhttps://linktr.ee/soyelbaroneyts', 'Podes unir el link del producto y el link al short, así los vemos juntos. Una idea nada mas', 'Genial, Barone hablando español!!', 'Baronhol 😂', 'Su voz es más decepcionante que la duración de el link', 'Barone cual es el producto que mas te llamo la atencion o mejor dicho que cumple con todo lo prometido?', 'PERO RAMON', 'Es tu voz??? Me gustaba más la otra :(', 'QUE NO PODES SUBIR MAS VIDEOS¿']"
XNUo8BRQSKA,"['Ya pues varón, se vee q nunca haz trabajo con una lija, corta las lijas para más comodidad y no malograr los alrededores', 'creo que es mas efectivo si le das con un soplete', 'Extrañaba el “Lo compreee” 😂', 'Esas son lijas al agua, tenias que colocarle un poco de agua y empezar a lijar desde 800 a 3000 si era el caso y al final el producto', 'Listo, ahora solo me falta el auto', 'Deja el paragolpes y capo nuevos con la lija😅😅😅😅😅', 'Donde esta rl enlace', 'Nooo baron le dara cancer por no usar protección', 'Los que repiten ramon los toco su tio no?', 'Primero decir que lo es un gas si no un polímero plástico que hacer que se evapore calentándolo con la taza metálica. Segundo que una vez que acabas no hay que tocarlo pasándole un paño. Tercero, no se aplica sólo una vez, son 2 o incluso 3 veces dejando que seque sin usar el coche ni mojar los faros']"
ydYH88Rs4LI,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'No va ni ahi', 'Esas máquinas son muy buenas y no pierden tanto filo así que no te debes de preocupar por estar afilando a cada rato', 'A excepción de Brasil creo que todos en latam hemos visto esa cosa para pelar naranjas en los puestos de jugos xdd', 'Falta sacar la parte blanca, eso pela para la m....', 'yo lo hacia con manzana verde y las comia en tiras con sal', '""Lista para Comerla!""\nEl Barone fuera de Contexto.', 'Esa es la que usa mi casera de jugo de naranja', 'De esas todavia las usan en la Antigua Guatemala, saludos.', 'naranjas verdes?']"
HKC9egEO4x0,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'Le faltó darle el madrazo.', 'Jajaja semi aprobado si el pobre tanque no sabía ni por que línea ir con tantas que hiciste tan rápido y bueno el anuncio no están duro con las pruebas', 'tamponco se la pongas dificil, solo va en una liena , se ve que tiene potencial ese juguete', 'Mira éso Ramón, dibujé una chot4  sin querer.😂😂', 'Esto es de temer para los  seres humanos esto es tan solo el principio de nuestra extinción ,!!!', 'Giorgio Barone descubriendo un robot seguidor de línea disfrazado de tanque.', 'Mira este tanque Ramón sigan viendo xD', 'será porque no te conversa; pero para un niño es el despelote', 'Donde está el enlace Ramón?']"
XyAQDQAkv6c,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'Ala mierda este video ya lo reccionaron esa pulcera weon fome', 'Es mínima la seguridad que tú entregas al probar los productos.', 'Viene en caja de madera para el Barone!!!... saben que a todo lo que recibe le pega un tajo😂😂', 'Mi bañera es mas onda que esa piscina 🤣', 'Más vídeos en la piscina, porfa!!!😍😍😍 estás hermoso!😍😘', 'Cuenta la leyenda que gracias al dispositivo... Barone y Ramón se dieron cuenta que la piscina está a punto de crear petróleo de lo sucia que está 😂😂😂', '😂😂😂 pudiste haber limpiado la piscina antes jajajja', 'Esa piscina tiene menos profundidad que un balde', '❤❤']"
DZwCeSScJzg,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'Los guantes de Batman', 'Son los de Batman 🗿', 'Sin duda es un buen producto', 'Tremenda valentía para hacer las pruebas fuertes de una', 'Como se llamaaa', 'mas fingido no se puede', 'Deberías poner el cuchillo en punta y probarlo jaja', 'Para hacer rappel están buenísimos pues evitan daños por fricción', '¿Y si no funcionaba?💀']"
3c5bTqgGs9k,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'No van a faltar los idiotas que comiencen a pescar con colillas de cigarro 😮\u200d💨\nCon lo contaminado que están los mares,  ríos y lagos como para llenarlos más de pequeñas colillas de cigarrillos 🚬', 'Tal vez no habia preces en ese lago 😂😂😂😂 o tu eres malo pescador 😂😂😂😂', 'El filtro del cigarrillo tarda décadas en descomponerse .\nAsí que un cero a tu video', 'Porfin en el otro era un charco de hace unos días por inundación 😂', 'Tendrías que tener experiencia en pesca para poder determinar eso', 'Tienes q ponerlo en el lugar de color', 'Buen lifehack para pescar usar lombrices', 'En ese lago no hay es nada', 'pero como vas a pescar con un palo']"
i8UrVfJ7Pb4,"['El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!', 'El más caro por 80 dolares???? Ejemplos hay de 400 y de lo que quieras!!🤦🏻\u200d♂️', 'Hay más caro creo 😂', 'Ese es un cuchillo de damasco y es ufff por excelencia los preferidos de los chefs', 'Todo consiste en el afilado. Qué se logre a un angulo a 13 geados con un esneril de acero fino.', 'lo compre!', 'Le conozco es un YouTuber Brasilero', 'Hay cuchillo mas caro, digamos que es unos de los caros', 'El de 80 no es ni de lejos el cuchillo de cocina más caro xd', '80€ el más caro que pudiste encontrar?']"
