video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
iMqcHwangKQ,Soy el Barone #Shorts,Probando el mini drone boomerang viral de Internet,"#shorts #espanhol #puebras 
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-09T18:00:17Z,40560,6895,,22,PT57S,hd,false
Z2nCn1bYqBY,Soy el Barone #Shorts,Este truco te enseña a abrir el auto SIN las llaves,"#shorts #espanhol #puebras 
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-09T14:30:09Z,40026,4780,,50,PT56S,hd,false
Nny4_6F-uU8,Soy el Barone #Shorts,👉 ENLACE de los productos aquí.,"👇🏼ENLACE DE LOS PRODUCTOS AQUÍ👇🏼
https://linktr.ee/soyelbaroneyts","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-09T01:18:19Z,2943,214,,20,PT1M2S,hd,false
XNUo8BRQSKA,Soy el Barone #Shorts,Este GAS promete dejar el faro del auto como nuevo,"#shorts #espanhol #puebras 
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-08T18:00:12Z,62771,5958,,52,PT59S,hd,false
ydYH88Rs4LI,Soy el Barone #Shorts,Este dispositivo pela una naranja sin esfuerzo en unos segundos,"#shorts #espanhol #puebras 
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-08T14:30:21Z,59186,6009,,82,PT51S,hd,false
HKC9egEO4x0,Soy el Barone #Shorts,¡Este tanque fue programado para seguir por la línea,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-07T18:00:07Z,80701,10897,,72,PT57S,hd,false
XyAQDQAkv6c,Soy el Barone #Shorts,Este brazalete futurista podría salvar tu vida de ahogarte,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-07T14:30:10Z,100526,12746,,92,PT55S,hd,false
DZwCeSScJzg,Soy el Barone #Shorts,"Si estos guantes estuvieran permitidos en UFC, las peleas no pasarían de 1 minuto","#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-06T18:30:11Z,278718,35129,,152,PT58S,hd,false
3c5bTqgGs9k,Soy el Barone #Shorts,Este cebo concentrado de gusanos con cigarrillo promete ser infalible en la pesca,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-06T14:30:01Z,111829,11683,,74,PT59S,hd,false
i8UrVfJ7Pb4,Soy el Barone #Shorts,Compré el cuchillo de cocina más barato y el más caro de Internet,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-05T18:30:37Z,190579,21144,,120,PT54S,hd,false
3287ejxh0Ec,Soy el Barone #Shorts,Este ventilador LED que proyecta hologramas 3D es Increíble,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-05T14:30:01Z,18105,2349,,16,PT56S,hd,false
Kr8cA7FViLs,Soy el Barone #Shorts,Preparando la bebida exótica Sol de Limão,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-04T18:00:12Z,190177,24057,,120,PT59S,hd,false
ShGeKM7bmNM,Soy el Barone #Shorts,Se pinchó su neumático y levantó el auto con un colchón inflable,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-09-04T14:30:17Z,334753,37526,,246,PT59S,hd,false
